Allianz Nederland,Beleggingscommissie Allianz Nederland
SPF beheer,Bestuur SPF beheer
OWASE P,Beleggingscommissie OWASE P
Avery Dennison,Bestuur Avery Dennison
Legal & General,Bestuur Legal & General
SCA,Beleggingscommissie SCA
General Electric Nederland,Beleggingscommissie General Electric Nederland
Huisartsen in Opleiding,Beleggingscommissie Huisartsen in Opleiding
Technische Groothandel Vroeg,Bestuur Technische Groothandel Vroeg
Metro,Beleggingscommissie Metro
Bouwnijverheid,Beleggingscommissie Bouwnijverheid
Lombard Odier,Beleggingscommissie Lombard Odier
Notariaat,Beleggingscommissie Notariaat
NN,Beleggingscommissie NN
Textielgoederen en Aanverwante Artikelen Groothandel,Beleggingscommissie Textielgoederen en Aanverwante Artikelen Groothandel
Cosun,Beleggingscommissie Cosun
Metro,Bestuur Metro
Sportfondsen,Bestuur Sportfondsen
Recreatie (SPR),Beleggingscommissie Recreatie (SPR)
ING,Beleggingscommissie ING
NN,Beleggingsadviseur NN
Beroepsvervoer over de Weg,Bestuur Beroepsvervoer over de Weg
Randstad,Bestuur Randstad
Croda,Beleggingscommissie Croda
B&S,Beleggingscommissie B&S
Elsevier-Ondernemingen,Beleggingscommissie Elsevier-Ondernemingen
Fluor Nederland,Bestuur Fluor Nederland
Transport,Beleggingscommissie Transport
TKP,Beleggingscommissie TKP
Samenwerking / Slagersbedrijf,Bestuur Samenwerking / Slagersbedrijf
Cargill,Beleggingscommissie Cargill
Thales,Bestuur Thales
Ring Transavia grondpersoneel,Beleggingscommissie Ring Transavia grondpersoneel
Achmea Personeel,Beleggingscommissie Achmea Personeel
Molenaarspensioenfonds,Bestuur Molenaarspensioenfonds
Alliance,Beleggingscommissie Alliance
Zoetwarenindustrie,Beleggingscommissie Zoetwarenindustrie
RBS Nederland,Beleggingscommissie RBS Nederland
BMO,Bestuur BMO
MSD,Bestuur MSD
Mn Services,Beleggingscommissie Mn Services
Agrarische en Voedselvoorzieningshandel,Bestuur Agrarische en Voedselvoorzieningshandel
Media PNO,Beleggingscommissie Media PNO
VNU,Beleggingscommissie VNU
Betonproduktenindustrie,Bestuur Betonproduktenindustrie
Samenwerking / Slagersbedrijf,Beleggingscommissie Samenwerking / Slagersbedrijf
Horecabedrijf,Beleggingscommissie Horecabedrijf
ERIKS,Beleggingscommissie ERIKS
Lanschot,Beleggingscommissie Lanschot
Apothekers,Beleggingscommissie Apothekers
