Fiduciair Manager IFF,MN
Fiduciair Manager Staples,Shell Asset Management Company
Fiduciair Manager CRH,non-external
Fiduciair Manager AFM,non-external
Fiduciair Manager Cap Gemini Nederland,Achmea IM
"Fiduciair Manager Schilders-, Afwerkings- en Glaszetbedrijf",Timeos
Fiduciair Manager Provisum,Robeco
Fiduciair Manager ING,Achmea IM
Fiduciair Manager Notariaat,APG
Fiduciair Manager BlackRock,BlackRock
Fiduciair Manager PPG Industries Nederland,Aegon
Fiduciair Manager Ring Haskoning,non-external
Fiduciair Manager Ernst & Young,non-external
Fiduciair Manager Bavaria,BMO
Fiduciair Manager Waterbouw BPF,Allianz
Fiduciair Manager Hagee,DSM Pension Services
Fiduciair Manager Lanschot,PGGM
Fiduciair Manager Lloyd's Register Nederland,MPD
Fiduciair Manager BlackRock,non-external
Fiduciair Manager MN,Russell
Fiduciair Manager OWASE P,BNP
Fiduciair Manager Heineken,non-external
Fiduciair Manager Deloitte,Achmea IM
Fiduciair Manager Transport,AXA
Fiduciair Manager Brocacef,MN
Fiduciair Manager Waterbouw BPF,BMO
Fiduciair Manager ING Bank CDC fonds,Lombard Odier
Fiduciair Manager CRH,non-external
Fiduciair Manager Loodsen,non-external
Fiduciair Manager Beroepsvervoer over de Weg,Achmea IM
Fiduciair Manager Grontmij,non-external
Fiduciair Manager Consumentenbond,Achmea IM
Fiduciair Manager Nedlloyd,SEI
Fiduciair Manager Remia,non-external
Fiduciair Manager Huntsman Rozenburg,non-external
Fiduciair Manager Recreatie (SPR),Dow Europe GmbH
Fiduciair Manager Consumentenbond,DSM Pension Services
Fiduciair Manager Atradius,NN
Fiduciair Manager Nederlandsche Bank,KCM
Fiduciair Manager Alliance,non-external
Fiduciair Manager Groothandel,BlackRock
Fiduciair Manager Hewlett-Packard,non-external
Fiduciair Manager KLM-Cabinepersoneel,BlackRock
"Fiduciair Manager Metalektro, bedrijfstakpensioenfonds",non-external
Fiduciair Manager BP,Anthos
Fiduciair Manager Atradius,Goldman Sachs
Fiduciair Manager Huisartsen in Opleiding,non-external
Fiduciair Manager ORTEC,Achmea IM
Fiduciair Manager Philips,NN
Fiduciair Manager Progress Unilever,BNP
Fiduciair Manager Dow,BlackRock
Fiduciair Manager Zuivel en aanverwante industrie,non-external
Fiduciair Manager Avery Dennison,Aegon
"Fiduciair Manager Mode-, Interieur-, Tapijt- en Textielindustrie",Oyens & Van Eeghen
Fiduciair Manager Mercer,APG
Fiduciair Manager PostNL,non-external
Fiduciair Manager Rabobankorganisatie,MN
Fiduciair Manager Apothekers,AXA
Fiduciair Manager AVEBE,non-external
Fiduciair Manager Bouwmaterialen,BlackRock
Fiduciair Manager KLM Vliegend Personeel,Achmea IM
Fiduciair Manager PostNL,non-external
Fiduciair Manager Ernst & Young,BMO
Fiduciair Manager Delta Lloyd,Aegon
Fiduciair Manager SNS Reaal Groep,non-external
Fiduciair Manager Chevron,non-external
Fiduciair Manager Recreatie (SPR),Oyens & Van Eeghen
Fiduciair Manager ABP,First Investments
Fiduciair Manager Detailhandel,Schroders
Fiduciair Manager Nederlandsche Bank,Aegon
Fiduciair Manager AXA,PGGM
Fiduciair Manager AFM,non-external
Fiduciair Manager Philips,BlackRock
Fiduciair Manager Verloskundigen,NN
Fiduciair Manager Cap Gemini Nederland,Robeco
Fiduciair Manager Bakkersbedrijf BPF,MN
Fiduciair Manager Roba,Aegon
Fiduciair Manager Roba,non-external
Fiduciair Manager Reisbranche,non-external
Fiduciair Manager Hewlett-Packard,NN
Fiduciair Manager Avery Dennison,NN
Fiduciair Manager SNS Reaal Groep,non-external
Fiduciair Manager Bavaria,NN
Fiduciair Manager Metaal en Techniek,Aegon
Fiduciair Manager Accountancy,Willis Towers Watson
Fiduciair Manager Achmea IM,non-external
Fiduciair Manager ARCADIS Nederland,MN
Fiduciair Manager Agrarische en Voedselvoorzieningshandel,non-external
Fiduciair Manager Unisys Nederland,MN
Fiduciair Manager Achmea IM,Northern Trust
Fiduciair Manager Mercer,MN
Fiduciair Manager Recreatie (SPR),non-external
Fiduciair Manager Nedlloyd,non-external
Fiduciair Manager TNT express,Blue Sky Group
Fiduciair Manager Security,BNP
Fiduciair Manager CRH,Achmea IM
"Fiduciair Manager Schoen-, Leder- en Lederwarenindustrie",BNP
Fiduciair Manager Tandartsen en Tandarts-Specialisten,non-external
Fiduciair Manager Ring Transavia grondpersoneel,NN
Fiduciair Manager Apothekers,Aegon
Fiduciair Manager Fluor Nederland,KBC
Fiduciair Manager Betonproduktenindustrie,BNP
Fiduciair Manager Horecabedrijf,NN
Fiduciair Manager Nedlloyd,Achmea IM
Fiduciair Manager Wonen,Aegon
Fiduciair Manager Chemours Nederland,NN
Fiduciair Manager KLM Vliegend Personeel,non-external
Fiduciair Manager Hagee,Aegon
Custodian Roeiers in het Rotterdamse havengebied,Kas Bank
Fiduciair Manager MSD,BlackRock
Fiduciair Manager E-Way,Aegon
Fiduciair Manager Banden- en Wielenbranche,Achmea IM
Fiduciair Manager Campina,NN
Fiduciair Manager Particuliere Beveiliging,NN
Fiduciair Manager PGGM,Achmea IM
Pensioenadministratie Shell,TKP
Pensioenadministratie Douwe Egberts,ACS HR Solutions
Pensioenadministratie APF,Syntrus Achmea
Pensioenadministratie Werk en (re)Integratie,Syntrus Achmea
Pensioenadministratie Vopak,First Pensions
Pensioenadministratie MN,non-external
Pensioenadministratie Personeelsdiensten,non-external
Pensioenadministratie Levensmiddelen Groothandel,Dion Pension Services
Pensioenadministratie Meubelindustrie en Meubileringsbedrijven,AGH
Pensioenadministratie Woningcorporaties,TKP
Pensioenadministratie Spoorwegpensioenfonds,Delta Lloyd
Pensioenadministratie Huisartsen,TKP
Pensioenadministratie Lloyd's Register Nederland,Syntrus Achmea
Pensioenadministratie Bouwnijverheid,Syntrus Achmea
Pensioenadministratie Centraal Beheer,TKP
Pensioenadministratie Blue Sky Group,AZL
Pensioenadministratie PGGM,AGH
Pensioenadministratie Kas Bank,DSM Pension Services
Pensioenadministratie SC Johnson,Aon Hewitt
Pensioenadministratie B&S,Xerox
Pensioenadministratie Trespa,non-external
Pensioenadministratie NN,Blue Sky Group
Pensioenadministratie Wolters Kluwer Nederland,non-external
Pensioenadministratie Douwe Egberts,Aegon
Pensioenadministratie AT&T Nederland,AZL
Pensioenadministratie Personeelsdiensten,Aegon
Pensioenadministratie TDV,AZL
Pensioenadministratie AVEBE,Dion Pension Services
Pensioenadministratie Spoorwegpensioenfonds,Syntrus Achmea
Pensioenadministratie VNU,TKP
Pensioenadministratie Urenco Nederland,Syntrus Achmea
Pensioenadministratie Douwe Egberts,TKP
Pensioenadministratie Unilever NL Forward,TKP
Pensioenadministratie Legal & General,Timeos
Pensioenadministratie Kas Bank,AZL
Pensioenadministratie VNU,non-external
Pensioenadministratie Spoorwegpensioenfonds,AZL
Pensioenadministratie Hewlett-Packard,non-external
Pensioenadministratie SNS Reaal Groep,Syntrus Achmea
Pensioenadministratie Telegraafpensioenfonds 1959,non-external
Pensioenadministratie Bouwmaterialen,Aon Hewitt
Pensioenadministratie Allianz Nederland,non-external
Pensioenadministratie Atos Origin,TKP
Eind contract pensioenadministrateur Abbott Nederland,TKP
Pensioenadministratie NN CDC fonds,non-external
Pensioenadministratie Architectenbureaus,non-external
Pensioenadministratie Avery Dennison,Syntrus Achmea
Pensioenadministratie Hewlett-Packard,Syntrus Achmea
Eind contract pensioenadministrateur Alliance,Syntrus Achmea
Pensioenadministratie ABN AMRO Bank,PGGM
Pensioenadministratie Elsevier-Ondernemingen,AZL
Pensioenadministratie APG,AZL
Pensioenadministratie Meubelindustrie en Meubileringsbedrijven,216 Accountants
Pensioenadministratie Elsevier-Ondernemingen,Blue Sky Group
Pensioenadministratie Heineken,Blue Sky Group
Pensioenadministratie Technische Groothandel Vroeg,Syntrus Achmea
Eind contract pensioenadministrateur Zuivel en aanverwante industrie,Syntrus Achmea
Pensioenadministratie AT&T Nederland,AZL
Pensioenadministratie Coram,AZL
Pensioenadministratie Lombard Odier,AZL
Pensioenadministratie Nedlloyd,Syntrus Achmea
Pensioenadministratie Hunter Douglas,AZL
Pensioenadministratie Recreatie (SPR),Blue Sky Group
Pensioenadministratie Grolsche bierbrouwerij,Blue Sky Group
Pensioenadministratie Campina,Blue Sky Group
Pensioenadministratie AFM,MN
Pensioenadministratie Medische Specialisten,TKP
Pensioenadministratie Drankindustrie,TKP
Pensioenadministratie Groothandel,Syntrus Achmea
Pensioenadministratie Xerox,TKP
Pensioenadministratie PGGM,AZL
Pensioenadministratie AFM,AZL
Pensioenadministratie Co-op,Syntrus Achmea
Pensioenadministratie Deloitte,Aon Hewitt
Pensioenadministratie MN,PGGM
Pensioenadministratie Croda,TKP
Pensioenadministratie Architectenbureaus,Appolaris
Pensioenadministratie Huysman,MPD
Pensioenadministratie Ecolab,APG
Pensioenadministratie SC Johnson,MN
Pensioenadministratie Pensura,MN
Pensioenadministratie Kappersbedrijf,Xerox
Pensioenadministratie SC Johnson,Syntrus Achmea
Pensioenadministratie Vopak,MN
Pensioenadministratie Schoenmakerij,AZL
Pensioenadministratie Personeelspensioenfonds APG,Syntrus Achmea
Pensioenadministratie Volo,AZL
Pensioenadministratie Kappersbedrijf,TKP
Pensioenadministratie DSM Nederland,Aon Hewitt
Pensioenadministratie Metaal en Techniek,AZL
Pensioenadministratie Houtverwerkende industrie,AZL
Pensioenadministratie Nike Nederland,TKP
Pensioenadministratie Aon Groep Nederland,TKP
Pensioenadministratie Protector,SPF
Pensioenadministratie Drankindustrie,Syntrus Achmea
Pensioenadministratie AHOLD,Dion Pension Services
Pensioenadministratie Roeiers in het Rotterdamse havengebied,Syntrus Achmea
Pensioenadministratie Croda,AZL
Pensioenadministratie KLM Vliegend Personeel,Xerox
Pensioenadministratie Roeiers in het Rotterdamse havengebied,Syntrus Achmea
Pensioenadministratie Heineken,APG
Pensioenadministratie Ring DHV,PGGM
Pensioenadministratie Houtverwerkende industrie,TKP
Pensioenadministratie Werk en (re)Integratie,non-external
Pensioenadministratie AHOLD,Syntrus Achmea
Pensioenadministratie Banden- en Wielenbranche,non-external
Pensioenadministratie Recreatie (SPR),Syntrus Achmea
Pensioenadministratie Dow,non-external
Pensioenadministratie MN,Syntrus Achmea
Pensioenadministratie MSD,TKP
Eind contract pensioenadministrateur Forbo,TKP
Beleggingsadviseur Levensmiddelenbedrijf,Sprenkels en Verschuren
Beleggingsadviseur Personeelspensioenfonds APF,ORTEC
Beleggingsadviseur Fresenius Nederland,Sprenkels en Verschuren
Beleggingsadviseur AXA,Willis Towers Watson
Beleggingsadviseur Lombard Odier,Willis Towers Watson
Beleggingsadviseur Invista,Aon Hewitt
Beleggingsadviseur Transport,Willis Towers Watson
"Beleggingsadviseur Schilders-, Afwerkings- en Glaszetbedrijf",KCM
Beleggingsadviseur Deloitte,Mercer
Beleggingsadviseur Unilever NL Forward,Willis Towers Watson
Beleggingsadviseur KLM-Cabinepersoneel,Almazara
Beleggingsadviseur Levensmiddelenbedrijf,Sprenkels en Verschuren
Beleggingsadviseur B&S,Strategeon
Beleggingsadviseur Huisartsen,Mercer
Beleggingsadviseur APG,Strategeon
Beleggingsadviseur TOTAL,The Index People
Beleggingsadviseur Sagittarius,TKP
Beleggingsadviseur FORD Nederland,Aon Hewitt
Beleggingsadviseur Shell,Willis Towers Watson
Beleggingsadviseur Smurfit Kappa Nederland,Watergeus consultancy
Beleggingsadviseur Zorgverzekeraars,CVP Advies
Beleggingsadviseur Progress Unilever,ORTEC
Beleggingsadviseur Kunststof- en Rubberindustrie,Asset Advisors
Beleggingsadviseur RBS Nederland,Sprenkels en Verschuren
Beleggingsadviseur Medewerkers Apotheken,Willis Towers Watson
Beleggingsadviseur Dierenartsen,Willis Towers Watson
Beleggingsadviseur Landbouw,Asset Advisors
Beleggingsadviseur Bakkersbedrijf BPF,Mercer
Beleggingsadviseur Spoorwegpensioenfonds,MN
Beleggingsadviseur AXA,Willis Towers Watson
Beleggingsadviseur Kappersbedrijf,Willis Towers Watson
Beleggingsadviseur PostNL,Mercer
Beleggingsadviseur Volo,Strategeon
Beleggingsadviseur IFF,Achmea IM
Beleggingsadviseur Cap Gemini Nederland,Willis Towers Watson
Beleggingsadviseur PepsiCo Nederland,Sprenkels en Verschuren
Beleggingsadviseur E-Way,Montesquieu
Beleggingsadviseur Huysman,Mercer
Beleggingsadviseur Equens,ICC
Beleggingsadviseur NN CDC fonds,Sprenkels en Verschuren
Beleggingsadviseur Notariaat,Braker Investment Consulting
Beleggingsadviseur PGGM,Aon Hewitt
Beleggingsadviseur Legal & General,Aon Hewitt
Beleggingsadviseur ABP,Quinator
Beleggingsadviseur Witteveen & Bos,Aon Hewitt
Beleggingsadviseur MSD,Achmea IM
Beleggingsadviseur Rijn- en Binnenvaart,ICC
Fiduciair Manager Heijmans,NN
Beleggingsadviseur PepsiCo Nederland,Mercer
Fiduciair Manager Personeelsdiensten,BNP
Fiduciair Manager Fracties,non-external
Pensioenadministratie Kas Bank,Syntrus Achmea
"Fiduciair Manager Schoen-, Leder- en Lederwarenindustrie",MN
Fiduciair Manager B&S,non-external
Fiduciair Manager Sportfondsen,Blue Sky Group
Accountant AXA,KPMG
Adviserend Actuaris Bouwmaterialen,Triple A
Certificerend Actuaris TBI,Willis Towers Watson
Fiduciair Manager KLM-Cabinepersoneel,Allianz
Pensioenadministratie Cap Gemini Nederland,Syntrus Achmea
Accountant Urenco Nederland,PwC
Certificerend Actuaris Roba,Triple A
Beleggingsadviseur Cap Gemini Nederland,Sprenkels en Verschuren
Adviserend Actuaris Lanschot,Aon Hewitt
Fiduciair Manager Recreatie (SPR),Deutsche Bank
Fiduciair Manager Notariaat,non-external
Pensioenadministratie Grolsche bierbrouwerij,non-external
Fiduciair Manager ARCADIS Nederland,non-external
Certificerend Actuaris Rockwool,EY
Adviserend Actuaris PPG Industries Nederland,Kleynen
Accountant Particuliere Beveiliging,PwC
Fiduciair Manager Apothekers,BMO
Accountant Russell,Mazars
Certificerend Actuaris Blue Sky Group,Mercer
Pensioenadministratie CRH,Syntrus Achmea
Beleggingsadviseur Ring Haskoning,Aon Hewitt
Fiduciair Manager Centraal Beheer,Achmea IM
Fiduciair Manager McCain,NN
Accountant MPD,KPMG
Certificerend Actuaris Alliance,Mercer
Fiduciair Manager Equens,BlackRock
Fiduciair Manager Sligro Food Group,non-external
Adviserend Actuaris NIBC,Syntrus Achmea
Certificerend Actuaris Dierenartsen,Willis Towers Watson
Accountant Lloyd's Register Nederland,KPMG
Fiduciair Manager Allianz Nederland,Candriam
Pensioenadministratie Schoonmaak- en Glazenwassersbedrijf,AZL
Fiduciair Manager Elsevier-Ondernemingen,NN
Certificerend Actuaris Alliance,Willis Towers Watson
Fiduciair Manager Heineken,Allianz
Adviserend Actuaris ERIKS,Triple A
Accountant Fysiotherapeuten,KPMG
"Pensioenadministratie Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf",DSM Pension Services
Certificerend Actuaris Stap,Willis Towers Watson
Accountant Chemours Nederland,Baker Tilly Berk
Beleggingsadviseur Lombard Odier,Aon Hewitt
Fiduciair Manager AT&T Nederland,Delta Lloyd
Fiduciair Manager Huntsman Rozenburg,BNP
Fiduciair Manager Media PNO,non-external
Fiduciair Manager Invista,NN
Fiduciair Manager Tandartsen en Tandarts-Specialisten,NN
"Fiduciair Manager Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf",non-external
Adviserend Actuaris MN,Montae
Certificerend Actuaris Architectenbureaus,Aon Hewitt
Beleggingsadviseur SNS Reaal Groep,Sprenkels en Verschuren
"Beleggingsadviseur Mode-, Interieur-, Tapijt- en Textielindustrie",Insinger de Beaufort
Adviserend Actuaris GE Artesia Bank,Sprenkels en Verschuren
Certificerend Actuaris AFM,Buck
Adviserend Actuaris PPG Industries Nederland,Sprenkels en Verschuren
Certificerend Actuaris BlackRock,Triple A
Pensioenadministratie Groothandel,non-external
Fiduciair Manager Bavaria,KCM
Fiduciair Manager Schoonmaak- en Glazenwassersbedrijf,non-external
Pensioenadministratie BlackRock,Syntrus Achmea
Adviserend Actuaris VNU,Mercer
Certificerend Actuaris Openbaar Vervoer,Willis Towers Watson
Accountant Accountancy,Deloitte
Pensioenadministratie Ernst & Young,Aegon
Certificerend Actuaris Consumentenbond,Willis Towers Watson
Adviserend Actuaris Spoorwegpensioenfonds,Sprenkels en Verschuren
Fiduciair Manager Cindu International,BlackRock
Beleggingsadviseur Levensmiddelenbedrijf,Strategeon
Beleggingsadviseur HAL,Willis Towers Watson
Accountant Urenco Nederland,KPMG
Certificerend Actuaris SABIC,Willis Towers Watson
Fiduciair Manager Smurfit Kappa Nederland,non-external
Eind contract pensioenadministrateur Staples,Aegon
Fiduciair Manager PepsiCo Nederland,non-external
Fiduciair Manager ANWB P,non-external
Fiduciair Manager Roba,non-external
Fiduciair Manager Sportfondsen,non-external
Pensioenadministratie Architectenbureaus,AZL
Fiduciair Manager Technische Groothandel Vroeg,non-external
Fiduciair Manager Ecolab,non-external
Fiduciair Manager Deloitte,non-external
Fiduciair Manager Legal & General,KCM
Fiduciair Manager Particuliere Beveiliging,Aegon
Herverzekeraar Cap Gemini Nederland,NN
Herverzekeraar Volo,Zwitserleven
Herverzekeraar Smurfit Kappa Nederland,Elips Life
Herverzekeraar Spoorwegpensioenfonds,Zwitserleven
Eind contract herverzekeraar Stap,Zwitserleven
Pensioenadministratie NIBC,PGGM
Pensioenadministratie Samenwerking / Slagersbedrijf,AZL
Herverzekeraar Honeywell,NN
Pensioenadministratie SPF beheer,Syntrus Achmea
Herverzekeraar Hoogovens,Elips Life
Herverzekeraar Ring Haskoning,Delta Lloyd
Herverzekeraar KLM-Cabinepersoneel,Elips Life
Eind contract herverzekeraar Croda,Elips Life
Herverzekeraar ORTEC,Zwitserleven
Herverzekeraar Huisartsen,Zwitserleven
Herverzekeraar Personeelspensioenfonds APG,NN
Herverzekeraar Croda,Zwitserleven
Pensioenadministratie Witteveen & Bos,APG
Herverzekeraar SPF beheer,Elips Life
Pensioenadministratie ANWB P,Shell Pensioenbureau Nederland
Herverzekeraar Zorgverzekeraars,NN
Eind contract herverzekeraar General Electric Nederland,NN
Herverzekeraar Croda,nvt
Pensioenadministratie Agrarische en Voedselvoorzieningshandel,Syntrus Achmea
Herverzekeraar SNS Reaal Groep,Delta Lloyd
Herverzekeraar Bakkersbedrijf BPF,Aegon
Herverzekeraar NN CDC fonds,Zwitserleven
Herverzekeraar APG,Aegon
Herverzekeraar Levensmiddelenbedrijf,Zwitserleven
Pensioenadministratie Nedlloyd,AZL
Herverzekeraar Timeos,Zwitserleven
Herverzekeraar Spoorwegpensioenfonds,nvt
Pensioenadministratie Personeelspensioenfonds APF,AZL
Herverzekeraar SNS Reaal Groep,NN
Herverzekeraar NIBC,on
Pensioenadministratie Volo,Blue Sky Group
Herverzekeraar Russell,Delta Lloyd
Herverzekeraar Buizerdlaan,Zwitserleven
"Pensioenadministratie Schilders-, Afwerkings- en Glaszetbedrijf",SPF
Herverzekeraar Molenaarspensioenfonds,Zwitserleven
Herverzekeraar Atradius,Elips Life
Herverzekeraar Urenco Nederland,Zwitserleven
Eind contract herverzekeraar PGB,Zwitserleven
Pensioenadministratie Medewerkers Apotheken,First Pensions
Herverzekeraar AZL,Zwitserleven
Pensioenadministratie Nike Nederland,Blue Sky Group
Herverzekeraar Landbouw,on
Adviserend Actuaris CRH,Mercer
Herverzekeraar Transport,on
Herverzekeraar Mercer,nvt
Pensioenadministratie Archimedes,AZL
Herverzekeraar SCA,on
Herverzekeraar Citigroup Nederland,on
Pensioenadministratie Honeywell,Syntrus Achmea
Herverzekeraar Unilever NL Forward,nvt
Eind contract pensioenadministrateur Betonproduktenindustrie,Syntrus Achmea
Herverzekeraar Horecabedrijf,nvt
Pensioenadministratie Grontmij,NN
Herverzekeraar Landbouw,on
Herverzekeraar Hagee,on
Herverzekeraar Meubelindustrie en Meubileringsbedrijven,Zwitserleven
Herverzekeraar Getronics,Zwitserleven
Herverzekeraar Samenwerking / Slagersbedrijf,Zwitserleven
Herverzekeraar Cap Gemini Nederland,nvt
Pensioenadministratie Bibliotheken openbare,non-external
Herverzekeraar SABIC,Elips Life
Pensioenadministratie Grolsche bierbrouwerij,Syntrus Achmea
Herverzekeraar Security,Zwitserleven
Herverzekeraar Staples,Elips Life
Herverzekeraar Xerox,Aegon
Pensioenadministratie Cargill,non-external
Herverzekeraar DSM Nederland,Aegon
Pensioenadministratie KPN,AZL
Herverzekeraar Waterbouw BPF,Zwitserleven
Herverzekeraar Technische Groothandel Vroeg,Zwitserleven
Herverzekeraar B&S,Zwitserleven
Herverzekeraar Horecabedrijf,on
Herverzekeraar Accountancy,Zwitserleven
Pensioenadministratie Atradius,AZL
Herverzekeraar Fracties,on
Herverzekeraar Legal & General,Aegon
Herverzekeraar Nike Nederland,on
Pensioenadministratie Security,Aon Hewitt
"Herverzekeraar Schoen-, Leder- en Lederwarenindustrie",Zwitserleven
Pensioenadministratie Fresenius Nederland,AZL
Herverzekeraar PGGM,on
Herverzekeraar Ernst & Young,Elips Life
Herverzekeraar Invista,Zwitserleven
Herverzekeraar Tandtechniek,on
Herverzekeraar AZL,Zwitserleven
Herverzekeraar Notarieel,on
Herverzekeraar Accountancy,Zwitserleven
Herverzekeraar Wolters Kluwer Nederland,on
Herverzekeraar Mn Services,Aegon
Herverzekeraar DSM Nederland,Delta Lloyd
Pensioenadministratie Henkel,TKP
Herverzekeraar Ecolab,Zwitserleven
Eind contract herverzekeraar Openbaar Vervoer,Zwitserleven
Herverzekeraar APG,Delta Lloyd
Herverzekeraar Koopvaardij,Centraal Beheer Achmea
Herverzekeraar Cindu International,nvt
Pensioenadministratie Unilever NL Forward,Aon Hewitt
Herverzekeraar McCain,Delta Lloyd
Beleggingsadviseur Roeiers in het Rotterdamse havengebied,Montae
Pensioenadministratie Ballast Nedam,AZL
Pensioenadministratie Zuivel en aanverwante industrie,Delta Lloyd
Herverzekeraar Roba,Aegon
Vermogensbeheer Zorgverzekeraars,Robeco
Vermogensbeheer TNO,Aegon
Herverzekeraar SABIC,Aegon
Pensioenadministratie Blue Sky Group,non-external
Beleggingsadviseur Levensmiddelen Groothandel,PME
Beleggingsadviseur Fluor Nederland,Unilever
Pensioenadministratie Aon Groep Nederland,Aegon
Custodian Fracties,Kas Bank
Accountant Cargill,Mazars
Certificerend Actuaris Vopak,Aon Hewitt
Fiduciair Manager Huisartsen in Opleiding,BNP
Pensioenadministratie Spoorwegpensioenfonds,Syntrus Achmea
Accountant Schoenmakerij,KPMG
Certificerend Actuaris SCA,Willis Towers Watson
Fiduciair Manager Heineken,Blue Sky Group
Pensioenadministratie Alliance,AZL
Pensioenadministratie Consumentenbond,TKP
Certificerend Actuaris Alliance,Willis Towers Watson
Accountant BlackRock,EY
Pensioenadministratie SC Johnson,Syntrus Achmea
Fiduciair Manager AFM,Aegon
"Herverzekeraar Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf",Elips Life
Accountant Accountancy,EY
Certificerend Actuaris Het Nederlandse Pensioenfonds,Triple A
Adviserend Actuaris IKEA,Willis Towers Watson
Accountant Campina,Mazars
Adviserend Actuaris Shell,Willis Towers Watson
Certificerend Actuaris Stap,Willis Towers Watson
Fiduciair Manager Metro,BNP
Custodian Zuivel en aanverwante industrie,BNP
Pensioenadministratie Betonproduktenindustrie,AZL
Fiduciair Manager IBM Nederland,Aegon
Accountant Fracties,BDO
Certificerend Actuaris CRH,Triple A
Adviserend Actuaris Huisartsen,Willis Towers Watson
Certificerend Actuaris TDV,Milliman
Adviserend Actuaris Chevron,Montae
Compliance officer Spoorwegpensioenfonds,Deloitte
Accountant Cosun,KPMG
Pensioenadministratie Agrarische en Voedselvoorzieningshandel,Syntrus Achmea
Certificerend Actuaris YARA Nederland,EY
Herverzekeraar Recreatie (SPR),Delta Lloyd
Fiduciair Manager KLM Algemeen,Delta Lloyd
Pensioenadministratie Legal & General,Aon Hewitt
"Fiduciair Manager Vlakglas, Verf, het Glasbewerkings- en het Glazeniersbedrijf",NN
Certificerend Actuaris Robeco,Aon Hewitt
Accountant ORTEC,Mazars
Pensioenadministratie Molenaarspensioenfonds,AZL
Certificerend Actuaris Dow,Willis Towers Watson
Beleggingsadviseur Zuivel en aanverwante industrie,Willis Towers Watson
Accountant Russell,PwC
Herverzekeraar Avery Dennison,Zwitserleven
Fiduciair Manager Kunststof- en Rubberindustrie,NN
Fiduciair Manager Abbott Nederland,Aegon
Bestuur AZL,ICC
Pensioenadministratie Ecolab,non-external
Fiduciair Manager GE Artesia Bank,KCM
Herverzekeraar Rijn- en Binnenvaart,NN
Accountant Beroepsvervoer over de Weg,PwC
Certificerend Actuaris Abbott Nederland,Sprenkels en Verschuren
Pensioenadministratie Zorg en Welzijn,APG
"Fiduciair Manager Metalektro, bedrijfstakpensioenfonds",PIMCO
Fiduciair Manager Bouwmaterialen,State Street
Accountant Zorg en Welzijn,PwC
Certificerend Actuaris Avery Dennison,Aon Hewitt
Adviserend Actuaris Vitol Anker,Support Company
Certificerend Actuaris ING Bank CDC fonds,EY
Accountant Albemarle,EY
Pensioenadministratie Lombard Odier,AZL
Herverzekeraar VNU,NN
Herverzekeraar Kappersbedrijf,Aegon
Herverzekeraar Pensura,Zwitserleven
Fiduciair Manager Ernst & Young,Achmea IM
Accountant Hewlett-Packard,PwC
Pensioenadministratie SC Johnson,Appel Pensioenuitvoering
Fiduciair Manager B&S,Robeco
Accountant E-Way,EY
Certificerend Actuaris Huisartsen,Triple A
Adviserend Actuaris Mn Services,Willis Towers Watson
Herverzekeraar BMO,Aegon
Pensioenadministratie Medewerkers Apotheken,non-external
Fiduciair Manager Mercer,Aegon
Adviserend Actuaris Gasunie,Willis Towers Watson
Certificerend Actuaris TNO,EY
Accountant UWV,PwC
Accountant Citigroup Nederland,EY
Accountant British American Tobacco,EY
Certificerend Actuaris B&S,Triple A
Adviserend Actuaris Samenwerking / Slagersbedrijf,Aon Hewitt
Fiduciair Manager Telegraafpensioenfonds 1959,NN
Beleggingsadviseur OWASE P,Sprenkels en Verschuren
"Pensioenadministratie Schilders-, Afwerkings- en Glaszetbedrijf",Syntrus Achmea
Adviserend Actuaris Delta Lloyd,Willis Towers Watson
Accountant NIBC,PwC
Pensioenadministratie Will Niemeijer,APG
Fiduciair Manager Consumentenbond,Secor
Adviserend Actuaris Houthandel,Willis Towers Watson
Certificerend Actuaris IKEA,Triple A
Accountant IKEA,Mazars
Pensioenadministratie PGB,non-external
Fiduciair Manager Protector,BlackRock
Herverzekeraar Gasunie,Aegon
Fiduciair Manager Randstad,Aegon
Accountant ARCADIS Nederland,Mazars
Adviserend Actuaris Loodsen,Mercer
Pensioenadministratie Staples,Xerox
Fiduciair Manager Houtverwerkende industrie,NN
Certificerend Actuaris Pensura,Actuva
Accountant Openbaar Vervoer,KPMG
Herverzekeraar Cap Gemini Nederland,Aegon
Accountant Ernst & Young,EY
Certificerend Actuaris Forbo,Willis Towers Watson
Adviserend Actuaris Henkel,Willis Towers Watson
Accountant Protector,KPMG
Certificerend Actuaris Achmea IM,Willis Towers Watson
Pensioenadministratie TNO,TKP
Pensioenadministratie MSD,PGGM
Pensioenadministratie Deutsche Bank Nederland,Syntrus Achmea
Fiduciair Manager Cindu International,on
Fiduciair Manager Wolters Kluwer Nederland,on
Fiduciair Manager Transavia vliegers,NN
Fiduciair Manager Kunststof- en Rubberindustrie,BMO
Pensioenadministratie Recreatie (SPR),Syntrus Achmea
"Fiduciair Manager Mode-, Interieur-, Tapijt- en Textielindustrie",NN
Fiduciair Manager Waterbouw BPF,Aegon
Compliance officer Medische Specialisten,Nederlands Compliance Instituut
Beleggingsadviseur Astellas,Delta Lloyd
